rank,unit,score,src_account,dst_account,top_features
1,4549494,0.9998727,24281,112152,payment_format +4.12; gfp_degree_out_bin2 +1.92; hour_of_day +0.90
2,4549495,0.9998184,24281,61426,payment_format +4.12; gfp_degree_out_bin2 +1.94; hour_of_day +0.84
3,4655881,0.9996712,326565,264765,payment_format +3.26; gfp_fan_in_bin8 +1.82; gfp_degree_in_bin8 +0.89
4,4629308,0.9995788,494057,368422,payment_format +4.31; gfp_vs_dst_in_ratio +0.63; currency_paid +0.63
5,4682555,0.99957746,293858,305973,payment_format +3.51; gfp_fan_in_bin8 +1.92; gfp_degree_in_bin8 +0.91
6,4549523,0.99955314,405864,29918,payment_format +4.12; gfp_fan_in_bin2 +1.04; gfp_vs_src_out_fan +0.67
7,4655897,0.9994886,324470,305973,payment_format +3.52; gfp_fan_in_bin8 +1.71; gfp_vs_dst_in_ratio +1.61
8,4549516,0.9994802,495614,264765,payment_format +3.34; gfp_fan_in_bin8 +1.84; gfp_degree_in_bin8 +0.92
9,4709752,0.9993774,322067,77323,payment_format +3.61; gfp_fan_in_bin8 +1.59; gfp_degree_in_bin8 +1.39
10,4682550,0.99934024,364337,50719,payment_format +3.30; gfp_fan_in_bin8 +1.91; amount_paid +1.43
11,4736778,0.99933475,77186,92451,payment_format +4.20; gfp_vs_src_out_ratio +1.23; gfp_fan_in_bin2 +0.81
12,4763422,0.99933285,173592,515000,payment_format +4.14; gfp_vs_dst_in_ratio +1.01; gfp_vs_dst_in_degree +0.61
13,4362152,0.99931145,133,91513,payment_format +3.94; gfp_fan_in_bin2 +1.16; amount_paid +0.63
14,4602537,0.99931073,173592,340101,payment_format +4.05; gfp_fan_in_bin4 +1.22; amount_paid +0.88
15,4682558,0.9992895,178789,367737,payment_format +4.13; gfp_fan_in_bin2 +1.05; gfp_vs_src_out_degree +0.97
16,4442423,0.999265,71309,456015,payment_format +3.92; gfp_vs_dst_in_ratio +0.81; amount_paid +0.50
17,4682560,0.99924004,253821,215161,payment_format +4.28; gfp_fan_in_bin2 +1.01; gfp_vs_dst_in_ratio +0.79
18,4736769,0.99923325,99847,511782,payment_format +3.21; gfp_fan_in_bin4 +1.31; gfp_vs_src_in_fan +0.86
19,4415912,0.99919504,314710,263419,payment_format +3.85; gfp_fan_in_bin2 +1.03; gfp_vs_dst_in_ratio +0.99
20,4549524,0.99918395,349860,287437,payment_format +4.00; gfp_vs_dst_in_ratio +0.73; amount_received +0.47
21,4549492,0.99917287,492714,361766,payment_format +4.03; currency_paid +0.65; gfp_vs_dst_in_ratio +0.63
22,4826115,0.9991596,310671,359407,payment_format +3.92; gfp_vs_src_out_degree +0.87; gfp_vs_src_in_fan +0.77
23,4709763,0.9991493,173592,318629,payment_format +3.97; gfp_vs_dst_in_ratio +1.52; gfp_vs_src_in_fan +0.45
24,4629313,0.9991234,409083,77323,payment_format +3.80; gfp_fan_in_bin4 +1.62; amount_paid +1.08
25,4496682,0.99910563,334993,413234,payment_format +4.27; gfp_vs_dst_in_ratio +1.11; gfp_fan_in_bin2 +0.70
26,4655909,0.99909174,102820,382181,payment_format +3.64; gfp_vs_src_in_fan +0.99; gfp_fan_in_bin4 +0.98
27,4602528,0.99908376,374829,514991,payment_format +3.96; gfp_vs_dst_in_ratio +1.18; gfp_vs_src_in_fan +0.50
28,4576211,0.9990815,70663,118107,payment_format +3.87; amount_paid +2.61; gfp_vs_dst_out_fan +0.79
29,4763420,0.9990676,247800,411976,payment_format +3.99; gfp_vs_dst_in_ratio +0.99; amount_paid +0.60
30,4736767,0.99899954,352144,32923,payment_format +3.77; gfp_fan_in_bin4 +1.29; amount_paid +1.12
31,4389038,0.9989962,406683,344010,payment_format +4.28; gfp_vs_src_out_fan +0.82; gfp_fan_in_bin2 +0.62
32,4655869,0.99899274,405632,412597,payment_format +3.43; gfp_fan_in_bin4 +1.50; amount_paid +0.92
33,4549531,0.99896514,22591,198556,payment_format +3.35; gfp_fan_in_bin4 +1.33; amount_paid +0.94
34,4523049,0.9989649,15235,415752,payment_format +4.20; gfp_fan_in_bin2 +1.01; amount_paid +0.77
35,4736765,0.99896026,58000,77323,payment_format +3.21; gfp_fan_in_bin8 +1.82; amount_paid +1.63
36,4693119,0.9989491,194941,191812,payment_format +4.12; gfp_fan_in_bin2 +0.80; amount_paid +0.70
37,4335568,0.9989385,349860,169790,payment_format +3.97; gfp_vs_dst_in_ratio +0.86; currency_paid +0.55
38,4442430,0.9989324,14354,50719,payment_format +3.47; gfp_fan_in_bin4 +1.26; amount_paid +0.82
39,4655865,0.9989153,300728,418291,payment_format +3.97; gfp_vs_src_in_fan +0.88; gfp_vs_dst_in_ratio +0.83
40,4389044,0.9989072,5139,252387,payment_format +3.64; gfp_degree_in_bin8 +0.96; gfp_fan_in_bin2 +0.93
41,4309213,0.9989058,493877,510762,payment_format +4.09; gfp_vs_dst_in_ratio +0.91; currency_paid +0.66
42,4702889,0.9988801,307766,386725,payment_format +3.84; gfp_vs_dst_in_ratio +0.93; amount_paid +0.63
43,4389040,0.99885917,162503,40512,payment_format +3.95; gfp_vs_dst_in_ratio +1.44; gfp_vs_src_in_fan +0.63
44,4629326,0.9988488,247800,216912,payment_format +3.70; gfp_fan_in_bin4 +1.22; gfp_degree_in_bin8 +0.72
45,4549514,0.9987991,43243,354945,payment_format +3.75; gfp_vs_src_in_fan +0.89; gfp_vs_dst_in_ratio +0.79
46,4693633,0.9987889,200084,295818,payment_format +4.12; gfp_vs_src_out_degree +0.85; currency_paid +0.72
47,4803717,0.9987851,4610,23637,payment_format +3.85; gfp_vs_dst_in_ratio +1.48; gfp_degree_in_bin8 +1.38
48,4309206,0.9987311,1533,368506,payment_format +4.13; gfp_fan_in_bin8 +1.70; gfp_vs_dst_in_ratio +0.78
49,4282595,0.99872273,349860,182700,payment_format +3.89; gfp_vs_src_in_fan +0.91; gfp_fan_in_bin4 +0.88
50,4684757,0.9986823,272989,257559,payment_format +3.94; gfp_fan_in_bin2 +0.69; amount_paid +0.61
51,4562499,0.9986817,92004,374569,payment_format +4.02; gfp_vs_dst_in_ratio +1.29; gfp_vs_src_out_degree +0.46
52,4523053,0.9986687,349860,115010,payment_format +3.91; gfp_degree_in_bin8 +0.73; amount_paid +0.70
